LAKENAME,Year,NTL,PTL,Tot_Sdep,OmWs,AgKffactWs,Depth
Lake Wurdeman,2007,2.181843588,0.84509804,0.478139209,0.318832505,0,0.919078092
Crane Pond,2007,2.84260924,1.568201724,0.989886897,0.350248018,0,0.255272505
Wilderness Lake,2007,2.868644438,1.643452676,0.625482851,0.138466038,0.067991741,0.389166084
Puett Reservoir,2007,2.537819095,1.278753601,0.466287238,0.24864823,0.001657223,0.788875116
Perkins Lake,2007,1.934498451,0.698970004,0.370304217,0.408506789,0,0.812913357
Morris Reservoir,2007,2.267171728,0.903089987,1.088061632,0.663045486,0.016974263,1.390051496
Spring Lake,2007,2.693726949,0.954242509,0.672786742,0.760422483,0.013174691,1.281033367
Lake Ahquabi,2007,2.904174368,1.826074803,0.811366048,0.401278588,0.054119239,0.740362689
Bogie Lake,2007,2.675778342,1.041392685,1.055939954,0.428597787,0,1.056904851
Cushing Lake,2007,3.011570444,2.204119983,0.783602375,0.285340651,0.029083563,0.537819095
Mirror Lake,2007,2.58546073,1.462397998,1.173438463,0.559928774,0.002312831,0.361727836
Unnamed Lake,2007,3.617838748,2.245512668,0.621433866,0.334453751,0.024766134,0.230448921
Caballo Reservoir,2007,2.673020907,2.041392685,0.358549193,0.150666393,0.002419644,0.809559715
Lake Maloney,2007,2.691081492,0.84509804,0.625918658,0.093721339,0.00221075,0.8162413
Doyles Lake,2007,3.848065895,2.904174368,0.592748519,0.297182692,0.029443891,0.041392685
Mill Creek Lake,2007,2.782472624,1.491361694,1.118289862,0.184413006,0.0989111,1.155336037
Canandaigua Lake,2007,2.592176757,0.903089987,1.118771793,0.461187003,0.049623428,1.695919253
Birdbath Lake,2007,2.544068044,1.113943352,0.737726914,0.385709619,0,0.462397998
Lake Palestine,2007,2.935003151,1.556302501,0.91682656,0.201266718,0.044205271,1.068185862
Kings Mountian #1 Lake,2007,2.292256071,1.041392685,0.857468947,0.104342619,0.006159019,0.851258349
Red Mill Pond,2007,3.323664536,2.394451681,1.172571703,0.247973266,0.04042101,0.096910013
Caldwell Lake,2007,2.632457292,1.51851394,1.491532267,0.244185292,0.041599862,0.685741739
Swamp,2007,2.922206277,1.832508913,0.37560235,0.246684102,0,0.204119983
Whoople Cat Lake,2007,2.252853031,0.954242509,1.05649761,0.170261715,0,0.698970004
Lake Waramaug,2007,2.380211242,1.176091259,1.092206405,0.623788497,0.010673705,1.102090526
Island Pond,2007,2.201397124,0.698970004,0.841868868,0.337535628,0.002007027,1.095169351
Summersville Lake,2007,2.678518379,0.301029996,1.364930163,0.190132361,0.004496721,1.579783597
Willow Park Reservoir,2007,2.330413773,1.204119983,0.50950701,0.209999376,0,1.138302698
Messick Lake,2007,2.810232518,1,1.116080386,1.030167432,0.064198621,1.213517757
Steverson Lake,2007,3.613736141,2.779596491,0.438603002,0.140502246,0.000337551,0.204119983
Beaver Pond,2007,2.812244697,1.740362689,1.015863775,0.112096349,0.037592927,0.361727836
Nolen Blue Hole,2007,2.888740961,2.049218023,0.988524289,0.149219113,0.054111951,0.484299839
Clear Creek Reservoir,2007,2.409933123,1.204119983,0.332522787,0.354108439,0,0.568201724
Adder Pond,2007,2.482873584,1.230448921,0.901353467,0.741151599,0,0.694605199
South Bay Lake Champlain,2007,2.392696953,1.477121255,0.894184924,0.515823299,0.025359757,0.748188027
Lake Lee,2007,3.244771761,2.340444115,0.840368504,0.103892267,0.066953434,0.505149978
Alamo,2007,2.683047038,1.301029996,0.220568808,0.163642605,0.000195405,1.178976947
(Unnamed Lake),2007,3.452553063,2.184691431,0.611880637,0.292256071,0.032111281,0.439332694
Sophie Lake,2007,1.857332496,0.301029996,0.224506354,0.247385926,0.00105503,1.209515015
Youghiogheny River Lake,2007,2.823474229,0.903089987,1.558222553,0.206503409,0.022858164,1.278753601
Trout Lake,2007,2.227886705,0.301029996,0.600342275,0.200042984,0,1.258876629
Horseshoe Lake,2007,2.624282096,1.602059991,0.85420562,0.142527574,0.000161899,0.544068044
Lake Concordia,2007,3.38774566,2.619093331,0.787527418,0.288076275,0.09525523,0.720159303
NRCS Site #6,2007,3.236789099,2.243038049,0.673247219,0.235050505,0.020760916,0.752048448
Soda Lake,2007,3.023663918,3.670245853,0.12375628,0.08278537,0,1.439332694
Smithville,2007,2.640481437,1.397940009,0.817541086,0.310015974,0.09852294,1.021189299
Mount Hope Lake,2007,3.164947373,2.068185862,1.153847474,0.527629901,0,0.389166084
Unknown,2007,3.67651071,2.136720567,0.568389943,0.28780173,0.002782957,0.021189299
